Commit Message,Category
#943 - Refactor internals - Performance tweak / tidy for WhoCreated  WhoModified on OneToMany connections. #942,external
(PLF-4239) JS of Getting Started portlet not good for performance.,external
"* Add ProvidesMemoryOverhead feature to provide byte overhead for storing cache values
* RandomDataStage
** allow the memory overhead to be set or retrieved from the wrapper featuring ProvidesMemoryOverhead
** allow specifying the total data size, and letting the stage calculate the number of values to put into the cache.
** log the number of words used to generate the string data
* MapReduceStage
** add a parameter to print the result map and object
** ensure that the payload string is always set
",functional
* Added @size attributes to fs:deepfs  fs:dir and fs:file elements * human readable size value for fs:fsSize element,internal
"* Added IoBuffer.minimumCapacity(...)
* Added IoBuffer.shrink()
* Fixed issue: DIRMINA-471 (Reduce SSL buffers overhead)
** The change uses the new feature of 2.0 so it won't be backported to 1.x.

git-svn-id: https://svn.apache.org/repos/asf/mina/trunk@594412 13f79535-47bb-0310-9956-ffa450edef68
",bugfix
"* Added command line arguments:
  -input <inputFileName>   Input file to open in text. editor
  -config <configName>     Configuration to load
  -auto                    Perform emulation automation
  -output <outputFileName> Dump emulation progress to a file.
                           The option has a meaning only with
                           ""-auto"" option.

* Added ""verbose"" setting feature
  The ""verbose"" is a global setting for all plugins with the same
  boolean value - true or false. If a plugin asks for the ""verbose""
  setting, the value of global verbose setting will be returned
  instead of plugin's saved verbose setting.
  The setting has a meaning if the emulation is automated and
  outputs of devices should be redirected to a file rather than
  on screen.
",functional
* Added more to the end2end spike * Created some concrete Phase classes * refactored/renamed phases * removed BasePhase to encourage loose coupling * removed dependency on spring from events module,internal
"* Fixed bug introduced by my previous patch
* Optimized the way requests are re-tried. If a request is submitted over a direct connection, there is no need to regenerate the request wrapper and re-run protocol interceptors on it 


git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@662030 13f79535-47bb-0310-9956-ffa450edef68
",bugfix
"* Fixed issue with UUID in Resource Path column of exported csv when exporting from workplace tool.
! Support for configuration of line separator.
",bugfix
"* Fixed issues with @FieldDefaults and @Value (you can NOT override
@Value's final-by-default and private-by-default with it; now
appropriate warnings are emitted)
* Builder now errors out on presence of most lombok annotations on an
explicit builder class.
* Builder now takes @FieldDefaults/@Value into account.
* Builder on type now generates the constructor as package private
instead of private to avoid synthetic accessor constructors.
* added a bunch of test cases.
* added a test case feature: If the expected file is omitted entirely
but there are expected messages, the differences in the output itself
are ignored.
* streamlined checking for boolean-ness (removed some duplicate code)
* added 'fluent' and 'chain' to @Builder.
",bugfix
"* If number of substitutions of candidate type is zero, then this type is not removed as it seems to be a root type (fixes #12).
* Conversion to plural form now features better property customisation check.
* Fixed broken argument processing.
* XML marshaller in Unit tests is now schema-enabled. Added more XMLs. Added case for xsd:anyType. Improved line and branch coverage.
* Updates README with respect to future release.",functional
* In alignment-to-text  tsv or tsv-single-base output there was a column for score but no header. added header. * For the QueueObjectPool  made a more generic interface and added a Null version that always creates new objects. This can be used for performance comparisons. * Added another layer of object abstraction GobySamRecord which contains one or more GobySamSegment. Things that exist for the entire read are stored in this object and the parser returns a GobySamRecord instead of a List<GobySamSegment>. This is easier to understand and models the data better. * Discovered a minor error with GobySamSegment sequence variation generation * Added tests from seq-var to verify seqvar during clipping  indels  etc. Make sure gsnap->sam->GobySamParser gets the same output as gsnap->compact-alignment->display-sequence-variations which enabled me to find one more issue with gsnap->compact-alignment seqvar generation related to soft clipping.,external
"* ROI Panel:
 - relaxed mutex for better performance.
 - refresh ROI descriptors when plugin list changed.
* Viewer: display a message when changing canvas.
* ROI: fixed minors issues on contains(ROI) and intersects(ROI) methods.
* minors changes on Plugin update process.
* minors tweaks and changes.",bugfix
"* ROI Panel:
 - splited ROI Descriptor calculation on separate thread (3 threads) so
basic information (as name, position...) are always immediately computed
and visible even if a complex descriptor takes a very long time to
compute.
 - fixed sorting issues.
* Sequence: fixed setColormap(..) method so persistence is not lost in
some case.
* ROI2DArea: fixed XML saving (could be broken if ROI was modified
during ZIP data packing).",bugfix
* Removed a bunch of duplicate code from PictReader * Fixed OpenlabReader to handle openlab/stefan/270508.  Note that this file's images still look wrong (since the file is all kinds of corrupt)  but at least all of the images are detected now.,code smell
"* Undo support:
 - finalized the history (undo) panel with global undo / redo operations
(Ctrl+Z / Ctrl+Y)
 - added undo support to almost all ROI actions from GUI.
 - modified mergeable property so we don't have anymore non significant
undoable edit (easier to manage)
* Loader:
 - improved image preview display when multiple importer are available
 - Loader.loadThumnail(..) now search in all compatible importer
* Loci importer: better retrieving of channel color from metadata
* added the ugly PluginNoEDTConstructor interface to avoid plugin
creation in the swing graphics thread (needed for retro compatibility).
Be careful as some Plugin abstract classes now use this interface.
* disable user link action as others features are not ready yet.
* IcyBufferedImageUtil.convertToType(..) now uses safe type conversion
as we always prefer it (even if it's bit slower).
* added ImageUtil.isGray(image) method to know if the specified RGB
image only contains gray pixels.
* minor fix with internet monitor.
* pre load the importers classes to avoid non responsive UI for some
seconds on first open operation.
* added MetaDataUtil.getChannelColor(..) method
* ROI2DShape: added addNewPoint(..) and removePoint(..) method",bugfix
* code cleanups + Tcl keyword  parser extensibility,external
* fixed formatting issues * broke down complexity of getGenericTypeAwarePropertydescriptor method * refactored names of tests to be more expressive,internal
"* fixing a bug where we were returning null when the triple map was empty, should be just returning the new object
* adding an additional case to the type mismatch test to allow for the cases where it's the same class, but loaded from different class loaders, which makes them !equals().  cuts down on the extraneous warnings.
* additional safeguards around failures in conversions of lists of values to collections
* correction in the javadocs in RdfQuery
* fixing the regex used in RdfQuery to detect unnamed parameters
* adding a utility method to EmpireUtil for getting all the instances of a certain java bean.  Similar to the all() method injected into Play models at runtime.
",bugfix
"* preliminary undo support.
* fixed minor bug in viewer focus change.
* improved ImageUtil.scaleQuality(..) method (better icon quality).
* fixed a minor bug with ROI polygon interaction (removing point while
dragging).
* added Sequence.calculateSize(..) method to help in calculating a
distance / surface from a specified number of pixel.
* search result producer are now sorted.",bugfix
"* refactored to fold DebugST into ST; adds one object ptr to every ST instance but worth reduction in complexity. ""new ST(...)"" calls didn't work (not DebugST objects) in inspector.  ST.inspect() for any ST now. * Fixed bug in STViz. Didn't highlight entire output when you click topmost template. * STGroup.debug no longer there nor static.  It's an instance var of Interpreter.  ST.inspect() tells interp to debug. STGroup.trackCreationEvents says to record where in code an ST was created and where code added attributes. * Gutted tree model for STViz  refactored debugging/event tracking code. * creation events had wrong location (launch of interp location); only tracks now for externally/injected created templates.",internal
* restructured code and package structure for higher cohesion * implemented proxy logic with cglib * fixed bug with introspector  generics and interfaces in java 1.6 * extended and added tests for ReflectUtil and ObjectFactory * added AbstractBeanTest to pull out similarities,internal
"* various bugfixes:
  * restored FormsServlet to version before commit
  * Date: remove debug output
  * Link: implemented readonly mip for outputs rendered as links
  * Dialog: removed action which is breaking the form
  * BfRequiredFull: added missing dependencies for betterform.ui.range.Slider
  * InlineAlert: fixed rendering of inline alerts
  * XFormsFeatureExplorer: added BfRequiredXFormsFeatureExplorer to add addtional JS dijits
",bugfix
"+ add createAggregatorSuffix method to wrap aggregator`s name (more pleasant representation)
- bug fix in MonitoringAggregator
",bugfix
"+ all launch functionality factored out in LaunchUtil
+ generalized parameter solver to work with multiple IJavaElements
+ consistent merging existing launch configurations
+ added behavior for dependsOnGroups (warning displayed)
+ temp suite generation uses core generation
+ TestNG core upgraded to 5.4
----------------------------------------------------------------------
",functional
"+ generify little bit MetricGroupNode
+ extract AbstractTree from ControlTree with ""cascade check - one event"" functionality
+ create LegendTree with specific cell (LegendNodeCell)
",functional
"- #(enh) - Cause assign statements to show the relevant LHS and RHS
expressions
  in the Outline view
  
- #(enh) - Change content-assist proposal for name-mapped
module-instance 
  parameters. Now, a module-port proposal includes the parens and
prompts the
  user to specify the connected net.
  
- #(enh) - Add SVEDITOR as a built-in pre-processor directive. This can
be
  used to disable processing of code that the SVEditor parser does not 
  currently support.
  
- #(nobug) - Corrected a bug where, in some cases, the types declared
local
  to the file being edited were not being searched during content-assist
operations
 
- #(enh) - Add content-assist support for task/function name-mapped
parameters

- #(enh) - Add content-assist support for name-mapped module, interface,
and
  class parameters.
  
",bugfix
"- Add integration test for basic functionality of memcached session manager
- Extract common test functions for integration tests",functional
"- Added New Experiment Profile Types
- Modified COMPOUND efo term
- Updated Experiment Setup Screen
- Updated experiment designs functionality with mapping to attributes
",functional
- Added UNICAST_RetransmitTest to test https://issues.jboss.org/browse/JGRP-1868 - SeqnoList now extends FixedSizeBitSet and uses a bitmap for retransmission (https://issues.jboss.org/browse/JGRP-1868) - NAKACK2  UNICAST3: added max_xmit_req_size - Table.forEach(from to): returns immediately if from > to - Table.getMissing(): returns immediately if size == 0 - Added NAKACK_RetransmitTest,internal
"- Added an abstration of condition expression lanugage (cel) - Added an abstraction of function expression language (fel) - Removed the tight coupling between the bean framework and valang.  - Changed the ""valang"" annotation and element to ""expression"" - Removed the bean expression resolver support (was replaced by fel)",internal
"- Added target for the nearest neighbor finder tool
- Reduced the default timeout for long-running tests

- Added a jaccardIndex overload for two sets of elements

- Fixed javadoc

- Made class serializable

- Added support for maximum path length

- Reworked to use the new SimpleDependencyPath class

- Revised error message for clarity

- Updated to use new SimpleDependencyPath features

- Updated to use new SimpleDependencyPath features

- Major rewrite for clarity

- Fixed toString()

- Added static methods for testing the category of particular POS tag

- Implemented missing methods

- Added more imports (not sure why...)

- Added logging

- Added support for shuffling the edges of a graph using a fixed Random for reproducability

- Multithreaded the edge similarity comparison

- Probably some bug fixes too

- Updated to use IntPair instead of Pair<Integer>

- Updated to use IntSet

- Major overhaul to bring performance in line with the earlier primitive
  collection enhancements

- Probably needs a lot of clean up still

- Updates to use new primitive collections

- Updates to use new primitive collections

- Added support for clustering to a fixed number of clusters

- Added (limited) support for writing in GEXF format

- Added (limited) support for writing in Pajek format

- Made default output verbose

- Remove extra temporary file that was just hanging around unneeded

- Added support for getting the String that backs the document

- Added a new class for testing the association between two terms, which is
  already partially supported by the BigramExtractor, but this class supports
  limiting the number of items being associated which enables better scaling
  through iterative association testing.

- This class needs a lot of work.

- Added an iterator for the documents in WaCkypedia

- Fixed HTML bug in javadoc

- Added new tool for running the NearestNeighborFinder from the command line

- Fixed javadoc

- Added support for changing the loging level of any logger namespace

- Added new tool for speeding up repeated nearest-neighbor computations by
  partitioning a SemanticSpace into clusters (using K-means) and then only
  searching a subset.

- Added support for reading and writing to streams and byte[] arrays

- Updated to be an IntSet

- Added Pair implementation

- Fixed iterator remove bug

- Added more extensive real-world unit tests

- Added unit test details that match the example in the Ahn et al. paper

- Added more tests
",bugfix
"- Adds license and javadoc to the matrix factorizations.
- Includes wrappers around the matlab and octave implementations.
- Abstracts some common SVD functionality to a base class.
- Unit tests NMF and SVD reduction methods.
- Make some helper functions public.
",functional
- Bugzilla Bug (s) Resolved: 284870 284794 - Description: remove and merge duplicate code in multiple places,code smell
"- Do not try to wait the end of current reporting phase, when stopping reporter with externally managed executor, because JDK ScheduledExecutorService does not provide this feature, and handy implementation of this feature requires big amount of complex concurrent code.
- Do not mock executors(where sensible) in order to make tests more realistic.
",functional
"- Extended the base test class to support lookup of the real lib version for a given FDK version.
- Adjusted the last two failing test to pass by using the newly included version-lookup functionality.
",functional
"- Fixed Problem if an Exception occurs
  - Using the second parameter of LOGGER.error() to get the stack trace
    printed.
- Moved all Interceptor Interfaces into their own package
- Added ChangeSetInterceptor Interface and
  added in implementation for the command line.


git-svn-id: http://svn.serverix/supose/trunk@326 2a5690f4-4b40-0410-ba62-85a317ce182b
",bugfix
" Fixed SSH/SUDO problem when the file owned by the sudo user was not readable by the connecting user. Because it was being copied to the temporary directory using ""cp -pr"" it would still not be readable. Added ""chmod -X go+rX"" command after the copy.
",bugfix
"- Fixed bug with border styles
- added fixed width for columns (width not affected by useFullPageWidth feature)

git-svn-id: https://dynamicjasper.svn.sourceforge.net/svnroot/dynamicjasper/api/trunk@73 2bfdcaec-5528-0410-9d21-f7f2b6497bdd
",bugfix
"- JaninoEvaluator stops itself after several errors
- corrected a hard to spot bug in AbstractEvaluatorFilter. It has methods like
  
  public int getOnMatch()
  public void setOnMatch(String)

  public int getOnMismatch()
  public void setOnMismatch(String)

The fact that the getter returned an int and the setter took a String has PropertySetter confused.
I removed the getOn*match methods which were not used anywhere.

",bugfix
"- Made all decoder dialogs modeless, on request of Eric;
- Some bugfixes in the UART decoding; support for channel labels when
  decoding, better baudrate prediction;
- small updates/cleanups.
",bugfix
"- Moved Address.java in client.http package  did minor changes. - Removed duplicate code for Voice and DataType classes. - Added comments in server code - not completed yet (old comments remaining here and there) but important things are documented now. - Changed class name marytts.client.http/MaryHtmlForm to ""MaryBaseClient"" since it is the base class that all clients use for communicating with Mary server.",code smell
- Summary: [Chart usability spec#2.5]UI refinement of Axis title/label,external
- Summary: [Enhancement] problems with usability of chart designer,external
"- delete classes whose functionality was replaced by classes
  dealing with CBS tool.
- move remaining classes up to org.arachna.netweaver.tools.dc package.
- fix some checkstyle warnings wrt. ""serial"" warnings
- fix some JavaDoc.",bugfix
"- fix serialization/deserialization for sparse vs normal
- minor performance enhancements to unsigned int comparator
- reduce max size of sparse array
",bugfix
"- fixed a problem when you want to edit an object that is *not* shared.
- renamed and changed scope of local methods, added ERDEditButton and ERDInspectPage to use method
- now uses d2w key ""useNestedContext"" so embedded components can be told to use nested contexts (>wo 5.21)


",bugfix
- kie-remote rest API documentation/readability (REST/JAX-RS annotation clean up),external
"- moving to 0.9.8
- adding resource reading capability in IncludeFileAction (see bug 89)
  cleaning up IncludeFileActionTest.java
- other minor changes
",bugfix
- removed a small piece of duplicate code in QuerySet#get,code smell
"-Added the ability to automatically lock certain blocks when placed
-Added /gaautolock to allow the user to enable/disable this
functionality",functional
-Refactored Robot's data class -Added logic to find winner,code smell
"-hacked formservlet to output a patched link for FeatureExplorer which is actually sitting down in the reference dir
-removed old dashboard stuff from site.xsl. Dashboard is now hand-edited
-dashboard is now welcome page
-changed help handling - no floating window any more but a simple div that is shown and hidden in place (near the control)
-fixed a type in claro css link
-re-generated reference forms
",bugfix
1) Added server.http.parallelthreads= entry to marybase.config to set the number of parallel http request handler threads. 2) Commented marytts.server.http.handleClientRequest code. 3) Changed random request id generation into consecutive id generation for http server. 4) Fixed beQuiet functionality in MaryHttpClient.,external
"1) Better toString() output for StopTime and Frequency
2) Fix bug when attempting to remove a Frequency using a gtfs transform
",bugfix
1) Compatibility with Java 1.7_17 2) Better build.xml - now dist includes necessary resources and javadoc and CLI.,external
1) file data utilities - add utility function 2) improve context performance,external
"1. Fix the Bug#422959 of the activation of the PropertySheet.

I have improved the existing code, I think that are some improvements to
do in the editors part.

2. Fix an issue in the class ProrAgileGridContentProvider method
getProrRow, sometimes the int parameter passed to this method is lesser
than 0 so it cause an ArrayOutOfBoundException.

Change-Id: Ieee8426384c9c18a9ed7e0f6cf3306f0eb0fedce
Signed-off-by: Hussein MHANNA <hussein.mhanna@all4tec.net>
",bugfix
"1. Fix the issue #445448. The problem was that a ClassCastException,
first we must check if the EStructurlFeature is an EAttribute before
casting.
2. Improve the code to let the entry return the value via a new method
#getValue()

Change-Id: Ifd2f6269d6c11157c8374384c3d3daf04b980f13
Signed-off-by: Hussein MHANNA <hussein.mhanna@all4tec.net>",bugfix
1. Implemented function to modify a loan product. 2. Added security controls so that only administrators can view  create  update  and delete loan products. 3. Refactored loan product controller hierarchy to eliminate duplicate code.,code smell
"1. New feature to support JOhm Map persistence in Redis.
2. Base collection framework to allow tunable asynchronous lazy loading.
3. Improved collection semantics to not force users to pre-persist every element individually; JOhm will now auto-handle this.
",functional
"1. made zoom functionality using plantuml.jar code (smooth)
2. added image zooming by mouse (ctrl+mouse wheel)
3. added image scrolling by mouse (mouse wheel)
4. added image dragging by mouse
5. changed toolwindow background color to white
6. copy-to-clipboard action now uses current zoom
",functional
"1.) Added pixel-ratio into list of media features that should not be
evaluated.
2.) Added '?' into list of characters allowed in urls.
",functional
1.0 release * New data sources:   - Grayscale heightmaps as source for elevations   - Arbitrary images as source for ground textures   - Custom OSM XML Files as source for ground textures * Full Support for the European Cities DLC.   The building style of existing maps can be changed in the Metadata-Editor * Performance of OpenStreetMap-Downloads improved  the hard download limits   were removed * Windows-Executable (.exe-file) * Program Update Notifications * Cache Janitor: removes deprecated and broken files from the cache * Drastically improved error handling * Useful new options in the settings menu (log file  updates  cache janitor  ...) * Many small improvements and lots of bugfixes  see CHANGELOG.md,external
1.9-RC update Fixes issue 313.    - Map max size not enforced.,internal
224364: re-enable fix after performance improvements from Markus,external
256272: [preferences] Surface new compiler preference for dead code detection: - added quick fixes,code smell
2644350 - Patch fixes two bugs; Map behaviour with inheritance; Considering full interface-superclass hierarchy instead of direct interfaces;,internal
290: Extracted some methods to reduce average method size  and eliminate some duplicate code.,code smell
339835: Remove all classes that provide backward compatibility for eclipse & swt 3.4 https://bugs.eclipse.org/bugs/show_bug.cgi?id=339835,external
413155 refactor HttpTransportOverSPDY to fix some bugs and reduce cyclomatic complexity,internal
"441257 implemented maven caches flush during forced dependency update

Maven maintains a number of caches meant to improve performance and
memory utilization when multiple projects reference the same plugin
or build extension. These caches were never flushed by m2e, which
resulted in stale or inoperable plugins and build extensions used
during workspace build.

The fix was to flush these Maven caches during project forced
dependency update.

Change-Id: If179fb8bde7e51ab8f02092d76fba6a25c668219
Signed-off-by: Igor Fedorenko <igor@ifedorenko.com>
",bugfix
"5431 compatibility, for those that can use it. This patch had no testing in 5.4 and only a bit in 5.4.3.1, but should not be problematic.

NOTES:
======

ERXEC.factory() needed to get changed to ERXEC._factory(). Please fix this in your own code.

ERXWOTestResult doesn't show errors anymore. This is does to a difference in Wonder and WO JavaWOExtensions. Not sure how to go about that.

The rest are mostly missing casts from NSDictionary.EmptyDictionary.

ERXApplication startup is slightly different, so ERXStatistics needed to get intited later on.

ERAttributeExtension received a stub class so that it compiles, but won't really work in 5431.

NSDictionary had slight changes in the signatures of isEqualToDictionary(), which shouldn't impair anyone.

NOTES 5431:
===========

To build, set the various roots and use

 ant -Dwonder.patch=5431 ...

to build. You currently also need to delete

  ERExtensions/Sources/com/webobjects/foundation/NS*Dictionary and NS*Set

as the <exclude> in javac no longer works.

You need to copy over Frameworks/Core/ERExtensions/.classpath.5431 and Frameworks/Core/ERJars/.classpath.5431 to the actual files.

The Postgres plugin won't build on 5431, as there is a super method missing. This will be resolved.
",bugfix
<STORY 248-SOLR plugin> Update and delete functionality for Mongo and SOLR Entities,external
@djazayeri Rename MPI interface and change inheritance.,internal
A bunch of inspection changes  including some dead code removal and tightening visibility  removing unnecessary casts,code smell
A few refactorings in anticipation of more formats that needs some common functionality,external
ACT-628 fixing backwards compatibility of deprecated expressions type,external
ACT-696: Added inheritance for TaskPage,internal
ACT-746: added functionality to involve people and give them custom roles,external
"ARQGRA-416: @InFrame duplicitly switches to iframe - fixed

* removed further enrichment of the Page Objects/Page Fragments
* PO/PF are enriched by demand when intercepted with inframe interceptor
",functional
ASNN-719 Moving method that's only used in a single producer to that producer so we can finish decoupling AssignmentSubmissionBean from non-grading pages,internal
"ASSIGNED - bug 376942: Third-Party Tool Extensions not handled correctly 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=376942

configured pror tool extensions in order to ensure XML level
compatibility
set all estructural features of tool extensions to unsettable
genmodels were updated manually (no reload) in order to avoid unintended
modifications",bugfix
"ASSIGNED - bug 376942: Third-Party Tool Extensions not handled correctly 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=376942

enabled performance tests",bugfix
"ASSIGNED - bug 376942: Third-Party Tool Extensions not handled correctly 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=376942

harmonized core plugin names
replaced reexported plugins by dependencies via features",bugfix
"ASSIGNED - bug 376942: Third-Party Tool Extensions not handled correctly 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=376942

integrated new serialization",bugfix
"ASSIGNED - bug 376942: Third-Party Tool Extensions not handled correctly 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=376942

modified package structure in order to represent then plugin name",bugfix
"ASSIGNED - bug 417160: [New Feature] RMF should be compatible with
Eclipse Kepler 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=417160

added KEPLER target definition
removed sphinx dependencies in testcases that blocked KEPLER migration
updated test cases to JUnit4",bugfix
"ASSIGNED - bug 417160: [New Feature] RMF should be compatible with
Eclipse Kepler 
https://bugs.eclipse.org/bugs/show_bug.cgi?id=417160

fixed test run as JUnit Plugin Test",bugfix
AbstractBlobTransformer uses template pattern to encapsulate from implementations blob 'delete' functionality.,external
Abstraction and work on new data sourcing.,internal
Abstraction of `CeylonBuilder.getSourceFolder()` and `CeylonBuilder.getResourceFolder()`,internal
Account status functionality implemented in M2 style. TestEditStatusAction is added.,external
"Add AVRO_BUFFERING feature (enabled by default/existing behavior)

The feature is added to both AvroParser and AvroGenerator to control
stream buffering on the Avro side.

Signed-off-by: Alex Dubov <oakad@yahoo.com>
",functional
"Add Clone and Reconfigure Ability

Add ability to clone both virtual machines and templates.
Add ability to delete both virtual machines and templates.
Add ability to reconfigure a virtual machine - currently supports basic CPU, memory, and network card functionality.
",functional
"Add FieldValueWriter in HBaseRepository

FieldValueWriter writes field values to an HBase Put object. This
is needed as external functionality (via the BulkIngester) to
allow doing record updates in bulk.
",functional
"Add Hive schema info generator for on-MapReduce compiler.

To enable this feature, add `com.asakusafw:asakusa-hive-plugin`
artifact into the on-MapReduce compiler dependencies.
This feature will generate schema information files onto
`etc/hive-schema/{inout,output}.json` in each batchapp output.
",functional
Add SVM metadata classifier,code smell
Add SessionComponent for better compatibility with old releases. XmppConnection has better documentetation. Better release name: 0.6.0 Release Candidate 1,external
Add ThreadLocal cache to proxies to improve performance,external
Add a catch clause in the SettingBundle#getString(String) in order to detect the missing required keys. Fixes the missing translations by either adding them or removing them when they aren't more used (dead code),code smell
"Add a lazy option to @Bind.

Often I want to @Bind SettableProvider<Foo> provider, but i can't because
BoundFieldModule doesn't recognize it.  I can work around via a custom provider
that just reads a class field, but i figured it would probably make more sense
just to add this feature to @Bind directly.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=75291509
",functional
Add a new window in time for event occurrences: the year  so that this new functionality provided by the Almanach EJB can be directly used for rendering event occurrences in the current year instead of using the overloaded getListRecurrentEvent() method. It stays the AlmanachPdfGenerator to update with this new feature. In todo: add a message waiting during the load of occurrences in a given period (weekly  monthly or yearly),external
"Add an option to allow self signed certificates

This change impacts the database sync feature when using a HTTPS location
as the database sharing location.

If the host where the database was being shared used a self-signed
certificate it was necessary to generate a new keystore with that hosts
certificate and copy this keystore into your JRE lib/security dir.

With this change an option was introduced to simply trust all hosts even
if they have an invalid X.509 certificate.
",functional
"Add and update tests for the new features.

git-svn-id: http://svn.mkgmap.org.uk/mkgmap/branches/unicode@3272 25d90789-57f7-4ee0-8453-03a3dfeeeb22
",functional
"Add basic support for /pattern/ in :sort command.  That is, simple text
matches only, no regex.  This makes the feature less robust, but at
least it's functional now.",functional
"Add brisk_system and feature to wait for RPC to start

Hold thread references to be able to cancel them as part
of the future funcitonality.
Implement a waiting mechanisms to check/create for
brisk_system keyspace once Cassandra is ready to listen to
connections.
Since we run inside the same JVM, parhaps there is a better
way to use it besides connection to localhost.
",functional
Add cache folder to InFileObjetPersisters. Customizable  tests and inheritance. Issue #103 and issue #98.,internal
"Add cellar-obr feature install itest

git-svn-id: https://svn.apache.org/repos/asf/karaf/cellar/trunk@1239186 13f79535-47bb-0310-9956-ffa450edef68
",functional
Add counter on issues performance tests,external
"Add date missing message to InboxToadlet if needed

This adds ""Date missing"" (or translation) in place of the date if the
message doesn't have a date header (or has one we can't parse). This
avoids leaving the field empty, and is consistent with the handling of
messages without a subject.

Fixes bug 6173
",bugfix
Add documentation about E-mail sending functionality. Update JUnit version. Code refactoring. Imports optimizations. Changes to UI of E-mail Templates page. New values for i18n. Validations of E-mail functionality.,external
"Add dropwizard-curator and dropwizard-zookeeper

Extracts ZooKeeper functionality from `dropwizard-core` to a new module,
`dropwizard-zookeeper`.

    * Adds new `namespace` option to `ZooKeeperConfiguration` to sandbox
    an application to a particular namespace in ZooKeeper.
    * Replaces `ZooKeeperHealthCheck` and `ZooKeeperQuorumHealthCheck`
    with a single `ZooKeeperHealthCheck` that ensures the configured
    namespace exists in the ensemble.

Also adds a new module `dropwizard-curator` for integrating with the
`Curator` library by Netflix.
",functional
"Add functionality to run individual classes in plugins.

Add a user-friendly shortcut to bin/nutch (the ""plugin"" command).

Fix missing setConf() in Http plugins.


git-svn-id: https://svn.apache.org/repos/asf/lucene/nutch/trunk@374348 13f79535-47bb-0310-9956-ffa450edef68
",bugfix
"Add getXPathNodeName to the Node interface

A default implementation is available in AbstractNode
to preserve compatibility with the previous way, which
used Object.toString.

Fixes #569
",bugfix
Add goog.reflect.objectProperty as a first class primitive with the same functionality as JSCompiler_renameProperty.,external
"Add helpers to get SSL properties

Adds helper functions to get SSL properties from
the openssl engine. This enables features like authorization
of client certificates.
",functional
Add in a simple builder for SQL strings  and use it to implement some additional functionality in EntityCollectionImpl,external
